raw_text,hasil_preprocessing,text_length
"Gimana gak sakit?

- Rupiah Anjlok ke 17.300, padahal target Presiden Rp 5.000
- Mengatur uang 335 Triliun untuk MBG tanpa jaminan yang jelas bagi keuangan negara
- BGN tiba2 Impor 25.000 Motor listrik tanpa sepengetahuan Purbaya
- Bank HIMBARA disuruh memfasilitasi kredit MBG https://t.co/kz0QBCBpgI",sakit_negated rupiah anjlok target presiden mengatur uang triliun mbg jaminan_negated keuangan negara bgn tiba2 impor motor listrik sepengetahuan_negated purbaya bank himbara disuruh memfasilitas kredit mbg,25
"@Stakof Gunanya demo buat apa ❓
Kalau ada demo rupiah jadi menguat??",gunanya demo rupiah menguat,4
"@tanyarlfes Jangan… semakin banyak peredaran usd di indonesia, makin jelek kurs rupiah….",jangan peredar dolar indonesia jelek kurs rupiah,7
"@panjisa82076329 Aku tergantung paketnya...haha
Kadang ada barang yg dibeli cuman buat genapin harga dan harganya murah dibawah seribu rupiah, barangnya gw taruh aja gak dibuka😅",tergantung paketnya tertawa kadang barang dibel cuman genapin harga harganya murah dibawah seribu rupiah barangnya taruh dibuka_negated,17
"@teratubeauty @womanfeeds_id Kak kenapa harga naik2 terus yaaa, ini yg bermasalah akun ku yg ngga pernah dapet diskon tetaru atau emang harganya naik terusss, cape bangettt 😭😭",harga naiktriliunanerus yaaa bermasalah akun ngga pernah dapet diskon tetaru harganya naik terusss cape bangettt sedih,16
@tebakakuapa @SarjanaEksu Short rupiah?,short rupiah,2
@phqainon Tunggu harga rupiah naik balik.,tunggu harga rupiah naik,4
"@usrnamess @MahendraHalby @OnefootballM Ya makanya, kan gua bilang karena duit rupiah melemah semua serasa mahal. Intinya presiden pepek apa lo",bilang duit rupiah melemah serasa mahal intinya presiden pepek,9
"‼️Help rt‼️
Wts -want to sell
Cat2 day1
- (4juta rupiah)(website price +jastip)
Reason :can't go bcs i go day2 🤧
Jastip i kakak@tikatisani 

#wtsjnjm #wtbjnjm #jnjm #fanmeetingjnjmdualityinjkt https://t.co/GnXkHrwLnq",help wts want sell cat2 day1 4juta rupiah website price jastip reason can triliun bcs day2 jastip kakak wtsjnjm wtbjnjm jnjm fanmeetingjnjmdualityinjkt,22
Harga Biodiesel dan Bioetanol Mei 2026 Resmi Naik https://t.co/mB4hnRjdFA,harga biodiesel bioetanol mei resmi naik,6
"gini jadinya kalo harga minyak dunia naik 🙂

#minyakdunia #minyak #pertamina #komisixiidprri https://t.co/diTZXxDogt",harga minyak dunia naik minyakdunia minyak pertamina komisixiidprr,8
"@LEONSKENED65270 @MahendraHalby @OnefootballM lahhh kan memang vido memang diutamakan untuk Indonesia makanya harga murah

mau rupiah tinggi pun kalau duit sana juga tinggi tetap murah lahh bagi mereka",lahhh vido diutama indonesia harga murah rupiah duit murah lahh,10
"@Tan_Mar3M Harga asli sekarang memang lebih tinggi ukht. Sekarang Pertamax juga terpaksa ikut dapat subsidi juga. Kalo ga, pasti harganya naik ga jauh beda dari turbo. Seperti halnya harga dexlite yg ga jauh beda dari dex.

Mungkin antum yang mikir nya agak goblok dan sering tertipu ukht..",harga asli ukht pertamax terpaksa dapat subsidi tidak harganya naik tidak beda turbo halnya harga dexlite tidak beda dex antum mikir goblok tertipu ukht,24
litereli perlu 300 rupiah buat ngebuletin saldo gopay gw biar 25k😭😭😭,literel perlu rupiah ngebuletin saldo gopay biar 25k sedih,9
"@RakyatBerbisik Sebetulnya apa yang ada di film Pesta Babi itu nggak ada apa-apanya dengan yang pernah diceritain wakil masyarakat adat di podcast Close the Door tahun lalu. 

Udah lama dana dari pusat ke Papua, sampai di level camat bisa 0 rupiah. Dan proyek PSN seperti menambah luka tersebut.",film pesta babi tidak apanya pernah diceritain wakil masyarakat adat podcast close door tahun dana pusat papua level camat bisa rupiah proyek psn menambah luka,25
"Nikah KUA abis brp yah, soalnya gak mungkin 0 rupiah bgt walau gratis",nikah kua abis brp tidak rupiah gratis,7
"@NewsBFM @simtzetzin tell your boss...policy is flawed period....anyway, its just another 2 years at most before you step down...100k 200k is affordable for you, not for the masses...unless you meant Thai Baht or Rupiah",tell your boss policy flawed period anyway its just another years most before you step down 100k 200k affordable you not masses unless you meant thai baht rupiah,28
"@brzchaa gen z banar nii bejualan😭buka bila mood baik, bila rame, ketar ketir, esok kd bejualan lagi🤣😭harga bisa naik mendadak😭🤣",gen banar nii bejual sedih buka mood rame ketar ketir esok bejual sedih harga bisa naik mendadak sedih,18
