Kata,Frekuensi
rupiah,11668
harga,5872
dolar,1575
indonesia,1451
beli,1369
sedih,1353
melemah,1263
ekonomi,1212
nilai,1116
turun,995
uang,918
rakyat,879
pemerintah,852
global,792
negara,773
orang,763
tukar,739
dollar,721
stabilitas,705
emas,662
tertawa,659
minyak,584
anjlok,569
prabowo,524
pasar,521
mahal,515
semangat,509
bahan_bakar_minyak,506
strategi,503
kurs,498
mbg,494
menguat,494
bikin,494
ribu,491
juta,471
bank,455
ribuan,455
lemah,455
mata,433
kompak,397
mei,394
barang,390
gaji,373
kerja,369
harganya,356
inflasi,356
pas,354
kuat,351
triliun,350
pake,342
presiden,333
bahan,323
liat,320
daya,317
bener,314
menjaga,309
kenaikan,305
aman,305
jutaan,300
biar,299
makan,295
bilang,291
dunia,289
stabil,287
belanja,281
saham,276
salah,272
biaya,271
duit,269
murah,268
tembus,266
subsidi,262
langkah,261
pertumbuhan,260
langsung,260
negeri,257
bayar,257
masuk,255
investor,247
ihsg,245
haji,244
kebijakan,244
miliar,240
kebutuhan,240
rate,237
kondisi,237
kaya,237
indo,234
masyarakat,231
pajak,223
pelemah,221
iran,217
level,216
jual,213
tekan,212
dapet,211
angka,208
baca,207
tumbuh,205
utama,204
