Kata,Frekuensi
rupiah,10850
harga,5988
aja,1394
beli,1368
melemah,1262
indonesia,1204
ekonomi,1188
nilai,1115
dolar,1020
gak,978
turun,978
udah,953
kalo,920
nya,911
rakyat,883
pemerintah,851
uang,832
negara,797
global,790
tukar,738
dollar,719
stabilitas,703
orang,673
emas,651
banget,636
anjlok,569
minyak,559
usd,549
sih,536
mahal,528
ribu,522
mbg,514
bgt,512
semangat,510
strategi,503
menguat,495
bikin,494
bbm,489
pasar,488
kurs,483
lemah,452
juta,451
amp,444
gue,436
mata,434
bank,426
barang,426
perkuat,412
kompak,397
mei,396
tuh,379
gaji,376
kuat,360
harganya,356
pas,356
inflasi,346
pake,342
prabowo,340
emang,338
presiden,336
bahan,334
kerja,325
liat,322
daya,317
menjaga,309
kenaikan,306
sampe,302
aman,302
dah,301
biar,299
udh,294
kak,293
tau,292
klo,291
dunia,289
bilang,288
belanja,279
stabil,275
duit,273
langkah,273
biaya,272
murah,271
tembus,267
saham,266
gini,265
salah,265
subsidi,261
pertumbuhan,261
langsung,260
negeri,260
nggak,259
bener,258
krn,256
masuk,255
kebijakan,253
investor,252
bayar,252
haji,244
kaya,240
kebutuhan,239
