Kata,Frekuensi
rupiah,11633
naik,6003
harga,5855
bisa,1578
dolar,1563
tidak,1463
indonesia,1448
sedih,1351
beli,1349
sudah,1259
melemah,1252
ekonomi,1210
nilai,1109
masih,983
turun,981
uang,916
rakyat,877
pemerintah,850
global,791
negara,772
orang,759
tukar,739
hari,726
dollar,712
stabilitas,705
tahun,683
tertawa,659
emas,659
minyak,583
anjlok,557
prabowo,523
pasar,521
semangat,508
mahal,506
bahan_bakar_minyak,504
strategi,503
kurs,496
menguat,492
mbg,491
ribu,490
bikin,478
juta,470
bank,455
ribuan,454
lemah,446
mata,433
bi,425
kompak,397
mei,394
harus,392
